Symbol,Name,결산월,회계년,주기,총부채(천원)
A015540,에코바이브,12,2014,Annual,"2,647,249"
A015540,에코바이브,12,2015,Annual,"22,304,135"
A015540,에코바이브,12,2016,Annual,"7,300,066"
A015540,에코바이브,12,2017,Annual,"9,916,679"
A015540,에코바이브,12,2018,Annual,"15,945,343"
A015540,에코바이브,12,2019,Annual,"15,250,625"
A015540,에코바이브,12,2020,Annual,"34,663,141"
A015540,에코바이브,12,2021,Annual,"13,831,698"
A015540,에코바이브,12,2022,Annual,"14,936,432"
A015580,신한은행,12,2011,Annual,
A015580,신한은행,12,2012,Annual,
A015580,신한은행,12,2013,Annual,
A015580,신한은행,12,2014,Annual,
A015580,신한은행,12,2015,Annual,
A015580,신한은행,12,2016,Annual,
A015580,신한은행,12,2017,Annual,
A015580,신한은행,12,2018,Annual,
A015580,신한은행,12,2019,Annual,
